BeulyFm,contains,Palynomorphs
ScoltHeadFm,constitutedBy,Mudstone
MainsFm,isMemberOf,DunrobinBayGp
UppershorefaceDepositionalEnvironment,type,BeachDepositionalEnvironment
hasDirectNext,subPropertyOf,hasDirectPrevious
SmithBankFm,constitutedBy,Mudstone
WestoeCoalFm,type,LithostratigraphicUnit
UpperCretaceous,type,UpperCretaceousEpoch
NansenFm,isMemberOf,BanksGp
BraeFm,isMemberOf,HumberGp
LossieheadFm,depositedIn,ContinentalDepositionalEnv
OrrinFm,constitutedBy,Sandstone
BraeFm,constitutedBy,Conglomerate
HopemanSandstoneFm,isMemberOf,HeronGp
ScoltHeadFm,type,LithostratigraphicUnit
PentlandFm,depositedIn,FluvioDeltaicDepositionalEnvironment
Granite,type,IgneousIntrusiveRock
StatfjordFm,constitutedBy,Sandstone
BrigFm,type,LithostratigraphicUnit
TarbertFm,type,LithostratigraphicUnit
TurbotAnhydriteFm,hasAge,UpperPermian
CookFm,constitutedBy,Siltstone
OrrinFm,constitutedBy,Siltstone
AgglutinatedFossil,subClassOf,Fossil
HidraFm,type,LithostratigraphicUnit
DarwinFm,hasAge,LowerJurassic
BeulyFm,constitutedBy,Sandstone
PaleozoicEra,subClassOf,PhanerozoicEon
MillstoneGritFm,constitutedBy,Sandstone
DornochFm,hasAge,EarlyEocene
RodbyFm,constitutedBy,Mudstone
GridSandstoneMb,constitutedBy,Mudstone
DornochFm,contains,Diatoms
DornochFm,constitutedBy,Mudstone
ListaFm,constitutedBy,Mudstone
FlounderFm,type,LithostratigraphicUnit
HauptdolomitFm,constitutedBy,Mudstone
StotfieldCalcreteFm,constitutedBy,Mudstone
HeatherFm,constitutedBy,Mudstone
MiddleJurassicEpoch,subClassOf,JurassicPeriod
SvarteFm,constitutedBy,Mudstone
MetamorphicNonFoliatedRock,subClassOf,MetamorphicRock
CementstoneFm,depositedIn,ContinentalDepositionalEnv
NorthernNorthSea,type,GeoArea
BroraCoalFm,depositedIn,ContinentalDepositionalEnv
BosiesBankFm,constitutedBy,Siltstone
MarineDepositionalEnv,type,MarineDepositionalEnvironment
GlacialDepositionalEnvironment,subClassOf,DepositionalEnvironment
MainsFm,constitutedBy,Mudstone
MillstoneGritFm,depositedIn,MarineDepositionalEnv
FluvialChannel,type,FluvialDepositionalEnvironment
YoredaleFm,constitutedBy,Limestone
BackshoreDepositionalEnvironment,type,BeachDepositionalEnvironment
BroraCoalFm,constitutedBy,Sandstone
ChalkGp,type,LithostratigraphicUnit
BosiesBankFm,depositedIn,ContinentalDepositionalEnv
TidalFlatDepositionalEnv,type,TidalDepositionalEnvironment
BrentGp,type,LithostratigraphicUnit
ShallowMarineDepositionalEnvironment,subClassOf,MarineDepositionalEnvironment
Quartzite,type,MetamorphicNonFoliatedRock
AmundsenFm,hasAge,LowerJurassic
DowsingFm,depositedIn,TransitionalDepositionalEnv
HalibutCarbonateFm,constitutedBy,Dolostone
Marl,type,SedimentaryRock
hasPrevious,type,ObjectProperty
SpekeFm,constitutedBy,Mudstone
SmithBankFm,hasAge,EarlyTriassic
BlakeneyFm,hasAge,UpperPermian
TritonFm,isMemberOf,HaisboroughGp
DeltaPlainDepositionalEnvironment,type,DeltaicDepositionalEnvironment
BraeFm,constitutedBy,Sandstone
Cretaceous,type,CretaceousPeriod
BlakeneyFm,isMemberOf,ZechsteinGp
Radiolarians,type,OrganicWalledFossil
BosiesBankFm,type,LithostratigraphicUnit
ShelfDepositionalEnvironment,type,MarineDepositionalEnvironment
PhanerozoicEon,subClassOf,GeochronologicTime
PegmatitanhydritFm,type,LithostratigraphicUnit
WickSandstoneFm,contains,CalcareousNannofossils
FellSandstoneFm,isMemberOf,FarneGp
LossieheadFm,isMemberOf,HeronGp
GridSandstoneMb,isMemberOf,StronsayGp
MarineDepositionalEnvironment,subClassOf,DepositionalEnvironment
CaisterCoalFm,depositedIn,TransitionalDepositionalEnv
WestoeCoalFm,constitutedBy,Coal
FlounderFm,hasAge,LateCretaceous
EmeraldFm,contains,Palynomorphs
CementstoneFm,isMemberOf,FarneGp
CalcareousFossil,subClassOf,Fossil
YoredaleFm,type,LithostratigraphicUnit
SpekeFm,contains,PollenSpores
SmithBankFm,isMemberOf,HeronGp
LowerTriassicEpoch,subClassOf,TriassicPeriod
SkadeFm,depositedIn,MarineDepositionalEnv
FellSandstoneFm,hasAge,EarlyCarboniferous
SiliceousFossil,subClassOf,Fossil
RotliegendGp,type,LithostratigraphicUnit
BritanniaSandstoneFm,depositedIn,MarineDepositionalEnv
WerraanhydritFm,type,LithostratigraphicUnit
AllerHaliteFm,type,LithostratigraphicUnit
LowerCretaceous,type,LowerCretaceousEpoch
CaisterCoalFm,hasAge,LateCarboniferous
Schist,type,MetamorphicFoliatedRock
ValhallFm,hasAge,EarlyCretaceous
JorsalfareFm,hasAge,LateCretaceous
HauptanhydritFm,isMemberOf,ZechsteinGp
BroomFm,type,LithostratigraphicUnit
Slate,type,MetamorphicFoliatedRock
PlattendolomitFm,hasAge,UpperPermian
YoredaleFm,isMemberOf,FarneGp
BasalanhydritFm,depositedIn,TransitionalDepositionalEnv
MackerelFm,isMemberOf,ChalkGp
ZechsteinkalkFm,depositedIn,MarineDepositionalEnv
DunlinGp,type,LithostratigraphicUnit
BowlandShaleFm,constitutedBy,Mudstone
HerringFm,type,LithostratigraphicUnit
SkagerrakFm,constitutedBy,Mudstone
Acritarchs,type,SiliceousFossil
DeltaicDepositionalEnvironment,subClassOf,TransitionalDepositionalEnvironment
LowerJurassicEpoch,subClassOf,JurassicPeriod
Gneiss,type,MetamorphicFoliatedRock
SmithBankFm,type,LithostratigraphicUnit
WerraanhydritFm,constitutedBy,Dolostone
Rhyolite,type,IgneousExtrusiveRock
Dinoflagellates,type,SiliceousFossil
PlattendolomitFm,type,LithostratigraphicUnit
HidraFm,constitutedBy,Limestone
MaureenFm,type,LithostratigraphicUnit
HauptanhydritFm,type,LithostratigraphicUnit
Tuff,type,IgneousExtrusiveRock
EkofiskFm,isMemberOf,ChalkGp
GrenzanhydritFm,isMemberOf,ZechsteinGp
SeleFm,constitutedBy,Mudstone
CementstoneFm,hasAge,EarlyCarboniferous
SchoonerFm,constitutedBy,Coal
Carbonate,type,SedimentaryRock
NansenFm,type,LithostratigraphicUnit
DarwinFm,type,LithostratigraphicUnit
FraserburghFm,isMemberOf,RotliegendGp
FindhornFm,type,LithostratigraphicUnit
CementstoneFm,type,LithostratigraphicUnit
HopemanSandstoneFm,constitutedBy,Sandstone
WhitehurstGp,type,LithostratigraphicUnit
BosiesBankFm,hasAge,UpperPermian
ZechsteinkalkFm,isMemberOf,ZechsteinGp
BrigFm,depositedIn,ContinentalDepositionalEnv
BunterSandstoneFm,type,LithostratigraphicUnit
DornochFm,depositedIn,TransitionalDepositionalEnv
EmeraldFm,constitutedBy,Sandstone
MiddleTriassic,hasDirectNext,UpperTriassic
DudgeonFm,constitutedBy,Mudstone
Scoria,type,IgneousExtrusiveRock
BroraCoalFm,constitutedBy,Mudstone
ShearwaterSaltFm,depositedIn,TransitionalDepositionalEnv
MaureenFm,constitutedBy,Mudstone
SvarteFm,hasAge,LateCretaceous
HuginFm,type,LithostratigraphicUnit
AlluvialDepositionalEnvironment,subClassOf,ContinentalDepositionalEnvironment
LacustrineDepositionalEnv,type,LacustrineDepositionalEnvironment
EmeraldFm,constitutedBy,Siltstone
BosiesBankFm,isMemberOf,ZechsteinGp
JorsalfareFm,constitutedBy,Limestone
HerringFm,depositedIn,MarineDepositionalEnv
Chert,type,SedimentaryRock
StatfjordFm,constitutedBy,Mudstone
DrakeFm,depositedIn,MarineDepositionalEnv
KyrreFm,depositedIn,MarineDepositionalEnv
hasDirectPrevious,type,ObjectProperty
FluvioLacustrineDepositionalEnvironment,type,LacustrineDepositionalEnvironment
FluvioDeltaicDepositionalEnvironment,type,FluvialDepositionalEnvironment
BowlandShaleFm,type,LithostratigraphicUnit
LowerCretaceous,hasDirectNext,UpperCretaceous
DrakeFm,hasAge,LowerJurassic
CookFm,isMemberOf,DunlinGp
FlounderFm,depositedIn,MarineDepositionalEnv
Coal,type,SedimentaryRock
HordaFm,isMemberOf,StronsayGp
DornochFm,constitutedBy,Sandstone
FluvialDepositionalEnvironment,subClassOf,ContinentalDepositionalEnvironment
HopemanSandstoneFm,hasAge,Triassic
FraserburghFm,type,LithostratigraphicUnit
TarbertFm,depositedIn,MarineDepositionalEnv
LeineHaliteFm,type,LithostratigraphicUnit
RannochFm,constitutedBy,Sandstone
HuginFm,contains,Palynomorphs
BlakeneyFm,constitutedBy,Anhydrite
FraserburghFm,constitutedBy,Mudstone
contains,type,ObjectProperty
LossieheadFm,hasAge,Triassic
ListaFm,isMemberOf,MontroseGp
SouthernNorthSea,type,GeoArea
TorFm,depositedIn,MarineDepositionalEnv
MorayGp,type,LithostratigraphicUnit
CormorantFm,constitutedBy,Mudstone
NessFm,isMemberOf,BrentGp
AllerHaliteFm,isMemberOf,ZechsteinGp
WerraanhydritFm,isMemberOf,ZechsteinGp
StassfurtHaliteFm,isMemberOf,ZechsteinGp
PegmatitanhydritFm,isMemberOf,ZechsteinGp
TarbertFm,hasAge,MiddleJurassic
Mudstone,type,SedimentaryRock
SkadeFm,isMemberOf,WestrayGp
BritanniaSandstoneFm,isMemberOf,CromerKnollGp
BlakeneyFm,depositedIn,TransitionalDepositionalEnv
Phyllite,type,MetamorphicFoliatedRock
AllerHaliteFm,constitutedBy,Halite
WerraanhydritFm,constitutedBy,Halite
BunterShaleFm,depositedIn,ContinentalDepositionalEnv
TurbotAnhydriteFm,type,LithostratigraphicUnit
LeineHaliteFm,isMemberOf,ZechsteinGp
Delta,type,DeltaicDepositionalEnvironment
UpperJurassic,hasDirectNext,LowerCretaceous
KupferschieferFm,type,LithostratigraphicUnit
ShallowMarineToDeepMarineDepositionalEnvironment,type,DeepMarineDepositionalEnvironment
LowerShorefaceDepositionalEnvironment,type,BeachDepositionalEnvironment
TaySandstoneMb,isMemberOf,StronsayGp
KyrreFm,hasAge,LateCretaceous
HalibutCarbonateFm,hasAge,UpperPermian
MainsFm,depositedIn,MarineDepositionalEnv
RotersalztonFm,isMemberOf,ZechsteinGp
Conodonts,type,PhosphaticFossil
DunrobinBayGp,type,LithostratigraphicUnit
StotfieldCalcreteFm,hasAge,EarlyTriassic
BroomFm,isMemberOf,BrentGp
GolspieFm,isMemberOf,DunrobinBayGp
WestoeCoalFm,depositedIn,TransitionalDepositionalEnv
RotersalztonFm,constitutedBy,Mudstone
FulmarFm,depositedIn,MarineDepositionalEnv
depositedIn,someValuesFrom,DepositionalEnvironment
WestoeCoalFm,constitutedBy,Mudstone
BactonGp,type,LithostratigraphicUnit
VolcanicDepositionalEnvironment,subClassOf,DepositionalEnvironment
LadysWalkFm,type,LithostratigraphicUnit
LarkFm,depositedIn,MarineDepositionalEnv
HuginFm,constitutedBy,Sandstone
WickSandstoneFm,constitutedBy,Mudstone
SpekeFm,type,LithostratigraphicUnit
Diorite,type,IgneousIntrusiveRock
CormorantFm,depositedIn,ContinentalDepositionalEnv
SchoonerFm,type,LithostratigraphicUnit
StotfieldCalcreteFm,type,LithostratigraphicUnit
MouseFm,type,LithostratigraphicUnit
BraeFm,contains,Palynomorphs
HalibutCarbonateFm,constitutedBy,Limestone
GolspieFm,type,LithostratigraphicUnit
LowerTriassic,type,LowerTriassicEpoch
TorFm,type,LithostratigraphicUnit
ShetlandGp,type,LithostratigraphicUnit
RannochFm,depositedIn,MarineDepositionalEnv
Marble,type,MetamorphicNonFoliatedRock
WickSandstoneFm,constitutedBy,Siltstone
GrauerSalztonFm,type,LithostratigraphicUnit
YoredaleFm,hasAge,MidCarboniferous
OrganicRichShale,type,SedimentaryRock
BunterSandstoneFm,constitutedBy,Mudstone
NonFoliatedRocks,type,MetamorphicNonFoliatedRock
HuginFm,depositedIn,ContinentalDepositionalEnv
BosiesBankFm,constitutedBy,Mudstone
hasNext,type,ObjectProperty
hasDirectPrevious,inverseOf,hasDirectNext
Pumice,type,IgneousExtrusiveRock
KupferschieferFm,constitutedBy,Dolostone
BeulyFm,hasAge,EarlyEocene
HordaFm,constitutedBy,Sandstone
DowsingFm,constitutedBy,Halite
HidraFm,isMemberOf,ChalkGp
SeleFm,depositedIn,TransitionalDepositionalEnv
GeologicalObject,subClassOf,GeochronologicTime
LarkFm,type,LithostratigraphicUnit
RodbyFm,hasAge,EarlyCretaceous
CoalyShale,type,SedimentaryRock
DudgeonFm,hasAge,MidTriassic
HalibutCarbonateFm,isMemberOf,ZechsteinGp
FarneGp,type,LithostratigraphicUnit
SpekeFm,constitutedBy,Sandstone
LowerPermian,type,PermianPeriod
BurtonFm,hasAge,LowerJurassic
hasDirectNext,type,ObjectProperty
BunterSandstoneFm,depositedIn,ContinentalDepositionalEnv
PentlandFm,isMemberOf,FladenGp
IngeVolcanicDepositsFm,type,LithostratigraphicUnit
FluvialDepositionalEnv,type,FluvialDepositionalEnvironment
KyrreFm,isMemberOf,ShetlandGp
GridSandstoneMb,constitutedBy,Sandstone
NansenFm,depositedIn,MarineDepositionalEnv
BeatriceFm,isMemberOf,FladenGp
OrrinFm,isMemberOf,DunrobinBayGp
MouseFm,hasAge,MidLateEocene
BurtonFm,constitutedBy,Mudstone
LadysWalkFm,constitutedBy,Mudstone
DudgeonFm,type,LithostratigraphicUnit
TarbertFm,isMemberOf,BrentGp
RodbyFm,depositedIn,MarineDepositionalEnv
GridSandstoneMb,depositedIn,MarineDepositionalEnv
LarkFm,isMemberOf,WestrayGp
SpekeFm,isMemberOf,DunlinGp
PollenSpores,type,SiliceousFossil
SchoonerFm,depositedIn,ContinentalDepositionalEnv
EmeraldFm,constitutedBy,Limestone
MetamorphicRock,subClassOf,Rock
CoastalPlain,type,TransitionalDepositionalEnvironment
FulmarFm,constitutedBy,Sandstone
HeatherFm,isMemberOf,HumberGp
CormorantFm,constitutedBy,Sandstone
TritonFm,constitutedBy,Anhydrite
CementstoneFm,constitutedBy,Sandstone
DrakeFm,isMemberOf,DunlinGp
FindhornFm,constitutedBy,Sandstone
BowlandShaleFm,depositedIn,MarineDepositionalEnv
GrauerSalztonFm,isMemberOf,ZechsteinGp
UpperPermian,type,PermianPeriod
ScoltHeadFm,constitutedBy,Anhydrite
AlluvialDepositionalEnv,type,AlluvialDepositionalEnvironment
GrauerSalztonFm,depositedIn,MarineDepositionalEnv
PentlandFm,type,LithostratigraphicUnit
HauptdolomitFm,hasAge,UpperPermian
HuginFm,constitutedBy,Siltstone
BeulyFm,type,LithostratigraphicUnit
CoastalToShallowMarineDepositionalEnvironment,type,MarineDepositionalEnvironment
MetamorphicFoliatedRock,subClassOf,MetamorphicRock
SvarteFm,constitutedBy,Limestone
MainsFm,type,LithostratigraphicUnit
BasalanhydritFm,type,LithostratigraphicUnit
StotfieldCalcreteFm,isMemberOf,HeronGp
Rock,subClassOf,Matter
SkadeFm,type,LithostratigraphicUnit
EtiveFm,type,LithostratigraphicUnit
PiperFm,isMemberOf,HumberGp
CormorantFm,type,LithostratigraphicUnit
BritanniaSandstoneFm,constitutedBy,Sandstone
BlakeneyFm,constitutedBy,Sandstone
CarrackFm,depositedIn,MarineDepositionalEnv
LagoonalDepositionalEnvironment,subClassOf,TransitionalDepositionalEnvironment
AllerHaliteFm,hasAge,UpperPermian
WerraanhydritFm,hasAge,UpperPermian
Permian,type,PermianPeriod
PermianPeriod,subClassOf,PaleozoicEra
HopemanSandstoneFm,type,LithostratigraphicUnit
Diatoms,type,OrganicWalledFossil
BunterShaleFm,constitutedBy,Shale
BeatriceFm,constitutedBy,Sandstone
CentralNorthSea,type,GeoArea
EkofiskFm,depositedIn,MarineDepositionalEnv
CarrackFm,constitutedBy,Mudstone
LossieheadFm,constitutedBy,Sandstone
TransitionalDepositionalEnvironment,subClassOf,DepositionalEnvironment
BeulyFm,constitutedBy,Coal
HalibutCarbonateFm,depositedIn,MarineDepositionalEnv
BurtonFm,isMemberOf,DunlinGp
Peridotite,type,IgneousIntrusiveRock
RotersalztonFm,hasAge,UpperPermian
BeachDepositionalEnvironment,type,BeachDepositionalEnvironment
StatfjordFm,hasAge,LowerJurassic
AndesiteLava,type,IgneousExtrusiveRock
SvarteFm,isMemberOf,ShetlandGp
SkadeFm,constitutedBy,Sandstone
StassfurtHaliteFm,hasAge,UpperPermian
CookFm,type,LithostratigraphicUnit
FellSandstoneFm,constitutedBy,Mudstone
MaureenFm,constitutedBy,Sandstone
UpperCretaceousEpoch,subClassOf,CretaceousPeriod
IgneousIntrusiveRock,subClassOf,IgneousRock
AmundsenFm,constitutedBy,Mudstone
FluvialLacustrineDepositionalEnv,type,FluvialDepositionalEnvironment
PiperFm,depositedIn,MarineDepositionalEnv
ScremerstonFm,depositedIn,TransitionalDepositionalEnv
HerringFm,hasAge,LateCretaceous
WickSandstoneFm,isMemberOf,CromerKnollGp
BroraCoalFm,hasAge,MiddleJurassic
MaureenFm,constitutedBy,Siltstone
HordaFm,depositedIn,MarineDepositionalEnv
MesozoicEra,subClassOf,PhanerozoicEon
MillstoneGritFm,constitutedBy,Siltstone
CormorantFm,isMemberOf,HeronGp
ShearwaterSaltFm,isMemberOf,ZechsteinGp
MiddleTriassic,type,MiddleTriassicEpoch
GridSandstoneMb,type,LithostratigraphicUnit
RodbyFm,type,LithostratigraphicUnit
DarwinFm,depositedIn,MarineDepositionalEnv
TarbertFm,constitutedBy,Sandstone
TaySandstoneMb,depositedIn,MarineDepositionalEnv
TorFm,constitutedBy,Limestone
ListaFm,type,LithostratigraphicUnit
CookFm,depositedIn,MarineDepositionalEnv
Silicoflagellates,type,OrganicWalledFossil
HidraFm,hasAge,LateCretaceous
TurbotAnhydriteFm,constitutedBy,Anhydrite
DornochFm,type,LithostratigraphicUnit
ZechsteinkalkFm,constitutedBy,Dolostone
BroraCoalFm,type,LithostratigraphicUnit
BurtonFm,depositedIn,MarineDepositionalEnv
EtiveFm,isMemberOf,BrentGp
RannochFm,hasAge,MiddleJurassic
DudgeonFm,isMemberOf,HaisboroughGp
SkagerrakFm,depositedIn,ContinentalDepositionalEnv
ZechsteinkalkFm,type,LithostratigraphicUnit
BunterShaleFm,isMemberOf,BactonGp
LadysWalkFm,hasAge,LowerJurassic
